#{"t_start": 1612627554.8002896, "env_id": "Scarecrow-v0"}
r,l,t
-5115.184228,1000,1.827482
-4445.283022,1000,3.509147
-4508.109767,1000,9.324247
-3209.409705,1000,11.726876
-3998.012256,1000,17.086918
-4266.528179,1000,19.755057
-3843.62851,1000,26.10406
-6910.742382,1000,28.334059
-3328.929124,1000,32.945078
-4457.24052,1000,34.772077
-6165.435143,1000,39.426888
-3767.244936,1000,41.312964
-5348.917159,1000,46.150108
-3185.188674,1000,48.129108
-4071.066863,1000,53.942107
-4879.494852,1000,56.349966
-4887.520372,1000,61.339493
-4890,1000,63.201048
-4119.84515,1000,67.986111
-6403.476963,1000,69.971114
-2981.707641,1000,74.821191
-4978.292069,1000,76.933226
-5535.707389,1000,81.796229
-5708.740229,1000,83.620834
-4584.266406,1000,88.843235
-3928.133497,1000,91.213869
-4644.671638,1000,96.027872
-4682.790063,1000,98.051943
-5080.867238,1000,102.896958
-4064.992475,1000,105.006959
-4858.143082,1000,109.91096
-5431.012081,1000,111.872196
-3498.859557,1000,117.011047
-5997.69722,1000,118.963047
-4420.655007,1000,123.741044
-6047.445741,1000,125.888042
-4387.473705,1000,130.779082
-5301.842182,1000,132.800138
-3553.791785,1000,137.762691
-5174.577586,1000,139.740236
-4907.746743,1000,144.718248
-3997.686934,1000,147.037246
-5166.121309,1000,149.234252
-3078.794417,1000,154.23825
-4686.787234,1000,156.324913
-5405.888331,1000,161.316284
-3847.559513,1000,163.321283
-3881.94306,1000,168.232899
-3677.272934,1000,170.311968
-4601.92302,1000,175.473972
-3934.52826,1000,177.430059
-3546.057304,1000,182.305141
-3745.292587,1000,184.424009
-4372.490696,1000,189.211082
-6540.811148,1000,191.115124
-5207.820439,1000,196.048137
-5301.123345,1000,197.927138
-5600,1000,202.713136
-6383.301778,1000,204.835138
-5617.061334,1000,209.755113
-4338.237181,1000,211.891149
-6147.041448,1000,216.75918
-6103.330851,1000,218.775214
-5341.638031,1000,223.85924
-4318.399697,1000,225.893252
-6287.430103,1000,231.474263
-5045.169907,1000,233.490262
-4956.512469,1000,238.894128
-5588.216561,1000,240.795179
-3941.279401,1000,245.942176
-4098.033333,1000,247.940176
-5570.446461,1000,252.882246
-4582.045198,1000,254.945247
-5545.928923,1000,259.740246
-2675.433897,1000,262.074248
-4506.445915,1000,267.476249
-6037.211743,1000,269.555247
-3183.843761,1000,274.891276
-4522.425402,1000,277.023277
-5016.177375,1000,282.0041
-6738.874853,1000,284.000181
-4522.413408,1000,288.929179
-5715.523938,1000,291.11618
-4523.581745,1000,296.652192
-4328.096717,1000,298.632194
-4881.28069,1000,300.710198
-5324.470268,1000,305.651213
-3997.964216,1000,307.636244
-6179.091694,1000,314.038188
-3375.916377,1000,316.882186
-3355.832768,1000,322.443053
-5267.235134,1000,324.816874
-5737.584053,1000,330.119951
-5105.860779,1000,332.13795
-3266.892057,1000,337.126149
-4772.069092,1000,339.34101
-3081.825832,1000,344.33716
-4159.038919,1000,346.31119
-3885.908448,1000,351.55619
-3308.789051,1000,353.597188
-3788.000178,1000,358.949204
-7602.602381,1000,361.177262
-3603.262762,1000,366.125007
-6510,1000,368.095004
-5632.239088,1000,372.949144
-5710,1000,374.930225
-4167.235134,1000,379.894011
-3367.397793,1000,382.042156
-3161.764608,1000,387.247194
